"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
1,2009,0,0,1,1,0,35,0,176.231,0.019,9.086,17,0,25.295,0.421,11.009,74,1,230.105,4.137,24.383,"0",0
1,2011,0,0,1,1,2,40,0,132.592,-1.894,10.998,18,0,86.565,3.461,10.775,71,0,190.355,6.951,24.623,"0",1
1,2013,0,0,1,1,2,25,1,104.577,-0.747,11.93,16,2,71.157,-1.58,10.198,45,0,317.293,2.638,26.068,"0",1
1,2014,0,0,1,1,1,27,1,484.399,3.582,10.699,16,0,54.076,4.797,11.063,58,0,145.323,7.032,24.641,"0",1
1,2015,0,0,1,1,2,30,0,112.613,0.915,14.302,18,0,73.825,4.863,12.426,67,3,179.382,6.964,24.314,"0",1
1,2016,0,0,1,1,0,39,0,77.794,1.852,13.418,12,1,70.836,4.292,11.351,44,1,123.952,6.026,24.891,"0",0
1,2017,1,0,0,0,0,35,1,87.196,-1.026,11.984,16,0,32.407,6.109,13.783,71,0,163.147,8.325,26.094,"F",0
1,2018,0,0,0,0,0,26,4,122.814,1.209,13.459,15,0,100.515,-2.659,11.293,72,0,311.864,3.483,24.084,"0",0
1,2019,0,0,1,1,1,35,0,82.579,0.223,12.444,15,0,2.214,5.368,12.829,65,0,150.377,6.537,29.891,"0",1
1,2020,0,0,1,1,1,32,1,103.911,3.627,16.827,11,0,41.049,5.299,12.297,70,0,230.454,2.474,24.959,"0",1
1,2021,0,0,1,1,1,27,0,145.761,-0.121,12.099,20,0,6.861,3.524,11.783,71,0,195.789,4.068,24.125,"0",1
1,2022,0,0,1,0,0,44,0,72.218,2.174,14.953,15,0,6.771,3.716,13.956,74,2,102.911,3.819,26.355,"0",0
10,2009,0,0,0,0,0,26,0,135.241,-0.877,9.905,6,2,21.447,0.477,11.557,51,1,219.742,4.666,24.504,"0",0
10,2010,0,1,1,1,1,25,0,194.68,-3.94,12.344,6,0,80.779,0.519,9.712,53,4,269.774,6.513,24.444,"M",1
10,2011,0,0,1,1,1,29,1,102.106,-2.25,11.826,12,0,52.822,4.078,11.001,60,1,174.023,7.377,23.895,"0",1
10,2012,0,0,1,0,0,17,2,20.622,-5.698,10.856,12,2,1.323,3.645,12.81,46,2,227.921,7.031,26.092,"0",0
10,2013,0,0,1,1,2,20,4,73.42,-1.613,10.44,13,2,47.75,-2.338,10.808,41,3,281.411,2.317,26.165,"0",1
10,2014,0,0,1,1,1,25,1,366.636,3.272,11.35,14,0,48.48,4.908,12.115,48,1,133.092,6.557,25.071,"0",1
10,2015,0,0,1,1,2,21,0,102.947,0.225,12.627,13,2,61.386,4.599,11.607,59,4,199.762,6.792,24.772,"0",1
10,2016,1,0,0,0,0,44,0,75.078,1.343,12.993,9,0,47.755,3.679,10.02,37,1,133.235,5.267,24.687,"F",0
10,2017,0,0,1,0,0,28,2,75.098,-1.304,12.657,13,0,28.7,5.337,13.663,59,1,183.883,7.643,26.632,"0",0
10,2018,1,0,1,1,1,21,0,136.192,0.991,13.633,7,0,74.311,-3.533,12.189,59,0,295.63,3.829,24.493,"F",1
10,2019,0,0,1,0,0,23,3,82.588,0.753,11.663,15,0,5.784,5.09,11.96,53,2,135.274,6.722,31.091,"0",0
10,2020,0,0,1,1,2,29,0,103.556,3.333,14.776,10,0,37.936,4.183,13.6,69,0,199.764,3.579,24.393,"0",1
10,2021,0,1,1,1,1,22,1,111.086,-0.685,12.235,18,0,8.755,3.977,11.896,53,1,189.406,4.368,25.306,"M",1
12,2010,0,0,1,0,0,24,0,188.924,-4.142,12.19,7,0,81.624,0.137,9.672,54,2,266.481,6.485,24.522,"0",0
12,2011,0,1,0,0,0,28,1,101.002,-2.417,11.865,13,0,51.228,4.126,10.909,59,1,167.433,7.385,23.936,"M",0
12,2012,0,0,1,1,0,18,2,21.506,-6.034,10.656,12,2,1.44,3.506,12.851,47,0,230.692,6.85,25.833,"0",0
12,2013,0,0,1,1,1,23,3,70.376,-1.791,10.278,13,1,47.272,-2.411,10.732,47,2,283.821,2.138,25.96,"0",1
12,2014,0,0,1,1,2,30,0,357.083,3.163,11.312,15,0,48.163,4.693,12.113,51,0,131.713,6.387,25.209,"0",1
12,2015,0,0,1,1,1,22,0,102.072,0.055,12.526,12,1,60.51,4.407,11.679,60,2,202.784,6.682,24.716,"0",1
12,2016,0,0,1,1,2,46,0,77.349,1.113,12.79,9,0,45.123,3.532,9.867,40,1,143.556,4.977,24.505,"0",1
12,2017,0,0,1,1,1,27,2,73.956,-1.469,12.489,14,0,28.274,5.121,13.595,60,1,192.481,7.431,26.698,"0",1
12,2018,0,0,1,1,1,22,0,144.636,0.953,13.291,8,0,76.943,-3.861,12.194,58,0,298.206,3.774,24.468,"0",1
