"id","breeding_period","sex","date","nobs","n_flight","year","rainfall","mean_temperature","wind","n_year_on_site","laying","hatching","breeding_success","prop_time_flight"
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-15",17,0,2010,0,-0.2,6.325,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-16",25,3,2010,0,-1.833,4.333,12,1,1,2,0.12
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-17",39,3,2010,0,-1.233,4.242,12,1,1,2,0.077
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-18",27,1,2010,0.042,-1.275,1.742,12,1,1,2,0.037
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-19",22,0,2010,0,-3.067,4.675,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-20",36,1,2010,0,-4.042,1.442,12,1,1,2,0.028
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-21",18,2,2010,27.925,2.083,2.05,12,1,1,2,0.111
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-22",26,2,2010,22.858,8.125,0.992,12,1,1,2,0.077
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-23",28,1,2010,25.042,6.742,1.317,12,1,1,2,0.036
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-24",29,1,2010,15.217,11.208,3.258,12,1,1,2,0.034
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-25",26,4,2010,0,7.392,2.575,12,1,1,2,0.154
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-26",36,2,2010,0.05,3.292,2.125,12,1,1,2,0.056
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-27",32,1,2010,0,3.783,1.633,12,1,1,2,0.031
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-28",35,1,2010,0.25,4.658,0.767,12,1,1,2,0.029
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-29",36,0,2010,2.467,8.492,0.908,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-30",31,1,2010,6.5,9,0.817,12,1,1,2,0.032
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-31",40,0,2010,13.725,9.15,0.625,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-01",12,1,2010,1.15,6.642,1.95,12,1,1,2,0.083
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-02",35,7,2010,0,0.958,4.258,12,1,1,2,0.2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-03",36,4,2010,0.817,0.083,2.008,12,1,1,2,0.111
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-04",23,0,2010,1.925,0.317,1.633,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-05",32,1,2010,0.075,0.658,1.967,12,1,1,2,0.031
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-06",32,4,2010,0,-0.625,1.475,12,1,1,2,0.125
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-07",36,0,2010,0.517,-1.225,2.383,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-08",30,5,2010,1.167,0.242,8.692,12,1,1,2,0.167
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-09",32,6,2010,0,-1.425,5.85,12,1,1,2,0.188
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-10",26,2,2010,0,-1.658,3.942,12,1,1,2,0.077
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-11",31,0,2010,0,-2.85,2.608,12,1,1,2,0
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-12",40,2,2010,2.633,-1.175,1.417,12,1,1,2,0.05
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-13",39,4,2010,5.742,2.208,0.725,12,1,1,2,0.103
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-15",33,5,2010,0,4.808,3.425,12,1,1,2,0.152
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-16",32,2,2010,5.192,2.625,0.85,12,1,1,2,0.062
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-17",35,1,2010,0,5.908,2.25,12,1,1,2,0.029
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-18",32,3,2010,0,5.633,4.758,12,1,1,2,0.094
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-19",35,1,2010,0,2.258,1.275,12,1,1,2,0.029
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-20",36,1,2010,3.192,2.792,0.733,12,1,1,2,0.028
