"id","breeding_period","sex","date","range_movement","nobs","year","rainfall","mean_temperature","wind","n_year_on_site","laying","hatching","breeding_success"
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-16",4768.327,25,2010,0,-1.833,4.333,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-17",860.406,39,2010,0,-1.233,4.242,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-18",538.192,27,2010,0.042,-1.275,1.742,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-20",471.477,36,2010,0,-4.042,1.442,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-22",629.194,26,2010,22.858,8.125,0.992,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-23",577.083,28,2010,25.042,6.742,1.317,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-24",1047.151,29,2010,15.217,11.208,3.258,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-25",1045.677,26,2010,0,7.392,2.575,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-26",500.19,36,2010,0.05,3.292,2.125,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-27",2142.209,32,2010,0,3.783,1.633,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-28",1876.584,35,2010,0.25,4.658,0.767,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-29",787.872,36,2010,2.467,8.492,0.908,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-30",825.023,31,2010,6.5,9,0.817,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-31",360.629,40,2010,13.725,9.15,0.625,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-01",441.983,12,2010,1.15,6.642,1.95,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-02",4105.277,35,2010,0,0.958,4.258,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-03",483.43,36,2010,0.817,0.083,2.008,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-04",316.729,23,2010,1.925,0.317,1.633,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-05",721.927,32,2010,0.075,0.658,1.967,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-06",2075.049,32,2010,0,-0.625,1.475,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-07",1424.678,36,2010,0.517,-1.225,2.383,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-08",642.965,30,2010,1.167,0.242,8.692,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-09",6749.967,32,2010,0,-1.425,5.85,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-10",1172.301,26,2010,0,-1.658,3.942,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-11",371.924,31,2010,0,-2.85,2.608,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-12",655.129,40,2010,2.633,-1.175,1.417,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-13",639.544,39,2010,5.742,2.208,0.725,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-15",3039.602,33,2010,0,4.808,3.425,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-16",593.646,32,2010,5.192,2.625,0.85,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-17",2779.983,35,2010,0,5.908,2.25,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-18",6021.032,32,2010,0,5.633,4.758,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-19",1030.301,35,2010,0,2.258,1.275,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-20",542.233,36,2010,3.192,2.792,0.733,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-21",13011.666,35,2010,0,5.475,3.875,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-22",557.177,36,2010,0,3.267,3.567,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-23",721.576,33,2010,0,0.508,0.758,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-24",160.154,32,2010,0.417,3.775,0.633,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-25",9672.695,35,2010,0,5.167,4.842,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-26",286.763,26,2010,0.033,3.15,7.375,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-27",3196.219,32,2010,0,-0.008,7.083,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-28",2410.698,35,2010,0,2.008,5.008,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-29",5133.008,36,2010,0,3.592,1.983,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-30",787.879,35,2010,0,1.925,3.217,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-01",1224.077,30,2010,0,-0.558,2.575,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-02",498.708,32,2010,0,0.45,1.425,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-03",395.977,40,2010,0,1.458,0.9,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-04",666.997,40,2010,10,3.358,1.817,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-06",3379.93,40,2010,0.35,5.225,1.292,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-07",4202.64,37,2010,0,5.8,6.083,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-08",381.796,39,2010,9.817,4.483,2.042,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-02-09",745.018,41,2010,10.867,3.533,2.875,12,1,1,2
