"id","breeding_period","sex","date","straighness_trajectories","nobs","year","rainfall","mean_temperature","wind","year_sur_site","laying","hatching","breeding_success"
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-15",0.284,17,2010,0,-0.2,6.325,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-16",0.016,25,2010,0,-1.833,4.333,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-17",0.058,39,2010,0,-1.233,4.242,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-18",0.043,27,2010,0.042,-1.275,1.742,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-19",0.302,22,2010,0,-3.067,4.675,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-20",0.011,36,2010,0,-4.042,1.442,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-21",0.298,18,2010,27.925,2.083,2.05,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-22",0.036,26,2010,22.858,8.125,0.992,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-23",0.019,28,2010,25.042,6.742,1.317,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-24",0.013,29,2010,15.217,11.208,3.258,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-25",0.013,26,2010,0,7.392,2.575,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-26",0.02,36,2010,0.05,3.292,2.125,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-27",0.018,32,2010,0,3.783,1.633,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-28",0.015,35,2010,0.25,4.658,0.767,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-29",0.06,36,2010,2.467,8.492,0.908,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-30",0.065,31,2010,6.5,9,0.817,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2009-12-31",0.024,40,2010,13.725,9.15,0.625,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-01",0.219,12,2010,1.15,6.642,1.95,12,1,1,2
"2009_07_site16_M_TS1__H8 [FRP-BA11036]","pre_breeding","M","2010-01-02",0.029,35,2010,0,0.958,4.258,12,1,1,2
